coverage_id,scale,category,row_name,window_name,achieved_qps,error_rate,latency_p95_ms,sample_count,source_stage,source_artifact,method
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,pre_event,15.720276,0.0,67.372186,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_primary_drained_or_safe_replaced,50,management,remove_primary_drained_or_safe_replaced,recovery,15.494047,0.0,70.023127,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,all_run,0.376982,0.0,73.731829,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,baseline,14.722587,0.0,70.817336,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,event,0.076913,0.0,73.148116,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,post_recovery,15.880904,0.0,68.515086,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,pre_event,16.065937,0.0,70.770517,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.remove_replica,50,management,remove_replica,recovery,14.703351,0.0,78.942386,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,all_run,7.376067,0.0,80.204531,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,baseline,16.027961,0.0,69.602775,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,event,2.397512,0.0,78.55835,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,post_recovery,13.711551,0.0,80.690306,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,pre_event,15.782948,0.0,69.891329,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_slot_range,50,management,reshard_slot_range,recovery,16.174954,0.0,64.302846,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,all_run,5.986176,0.0,74.105101,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,baseline,15.312453,0.0,68.377317,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,event,1.753975,0.0,65.771423,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,post_recovery,14.843186,0.0,73.656046,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,pre_event,16.294587,0.0,61.906704,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.reshard_with_keys,50,management,reshard_with_keys,recovery,14.125192,0.0,78.694204,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,all_run,0.377294,0.0,74.138075,20,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,baseline,15.394464,0.0,73.094321,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
50.management.rolling_restart_primary_safe,50,management,rolling_restart_primary_safe,event,0.076921,0.0,71.9788,4,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/workload_windows.json,copy_workload_window_metrics
